Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-03-14,420.890015,424.549988,415.790009,417,404.199585,95729200,2022
2022-03-15,419.769989,426.839996,418.420013,426.170013,413.088135,106219100,2023
2022-03-16,429.890015,435.679993,424.799988,435.619995,422.248016,144954800,2024
2022-03-17,433.589996,441.070007,433.190002,441.070007,427.530731,102676900,2025
2022-03-18,438,444.859985,437.220001,444.519989,432.213409,106345500,2026
2022-03-21,444.339996,446.459991,440.679993,444.390015,432.087006,88349800,2027
2022-03-22,445.859985,450.579987,445.859985,449.589996,437.143005,74650400,2028
2022-03-23,446.910004,448.48999,443.709991,443.799988,431.513306,79426100,2029
2022-03-24,445.940002,450.5,444.76001,450.48999,438.018127,64736900,2030
2022-03-25,451.160004,452.980011,448.429993,452.690002,440.157227,77101300,2031
2022-03-28,452.059998,455.910004,450.059998,455.910004,443.288025,68529800,2032
2022-03-29,460.019989,462.070007,457.179993,461.549988,448.771851,86581500,2033
2022-03-30,460.339996,461.200012,456.470001,458.700012,446.000793,79666900,2034
2022-03-31,457.890015,458.76001,451.160004,451.640015,439.136322,121699900,2035
2022-04-01,453.309998,453.459991,449.140015,452.920013,440.380829,89048800,2036
2022-04-04,453.130005,456.910004,452.26001,456.799988,444.153381,59601000,2037
2022-04-05,455.220001,457.829987,449.820007,451.029999,438.543091,74214500,2038
2022-04-06,446.890015,448.929993,443.470001,446.519989,434.15799,106898000,2039
2022-04-07,445.589996,450.690002,443.529999,448.769989,436.345673,78097200,2040
2022-04-08,447.970001,450.630005,445.940002,447.570007,435.178925,79272700,2041
2022-04-11,444.109985,445,439.390015,439.920013,427.740784,89770500,2042
2022-04-12,443.079987,445.75,436.649994,438.290009,426.155823,84363600,2043
2022-04-13,438.029999,444.109985,437.839996,443.309998,431.036835,74070400,2044
2022-04-14,443.549988,444.730011,437.679993,437.790009,425.669678,97869500,2045
2022-04-18,436.809998,439.75,435.609985,437.970001,425.844757,66002500,2046
2022-04-19,437.859985,445.799988,437.679993,445.040009,432.718994,77821000,2047
2022-04-20,446.920013,447.570007,443.480011,444.709991,432.398102,65224400,2048
2022-04-21,448.540009,450.01001,437.100006,438.059998,425.93222,85417300,2049
2022-04-22,436.910004,438.079987,425.440002,426.040009,414.244995,132471800,2050
2022-04-25,423.670013,428.690002,418.839996,428.51001,416.646576,119647700,2051
2022-04-26,425.829987,426.040009,416.070007,416.100006,404.5802,103996300,2052
2022-04-27,417.23999,422.920013,415.01001,417.269989,405.717804,122030000,2053
2022-04-28,422.290009,429.640015,417.600006,427.809998,415.966034,105449100,2054
2022-04-29,423.589996,425.869995,411.209991,412,400.593719,145491100,2055
2022-05-02,412.070007,415.920013,405.019989,414.480011,403.005066,158312500,2056
2022-05-03,415.01001,418.929993,413.359985,416.380005,404.852478,100028200,2057
2022-05-04,417.079987,429.660004,413.709991,429.059998,417.181396,144247900,2058
2022-05-05,424.549988,425,409.440002,413.809998,402.353607,172929100,2059
2022-05-06,411.100006,414.799988,405.730011,411.339996,399.951965,151770800,2060
2022-05-09,405.100006,406.410004,396.5,398.170013,387.146637,155586100,2061
2022-05-10,404.48999,406.079987,394.820007,399.089996,388.041107,132497200,2062
2022-05-11,398.070007,404.040009,391.959991,392.75,381.876648,142361000,2063
2022-05-12,389.369995,395.799988,385.149994,392.339996,381.477966,125090800,2064
2022-05-13,396.709991,403.179993,395.609985,401.720001,390.598297,104174400,2065
2022-05-16,399.980011,403.970001,397.600006,400.089996,389.013428,78622400,2066
2022-05-17,406.529999,408.570007,402.579987,408.320007,397.015594,83029700,2067
2022-05-18,403.5,403.799988,390.549988,391.859985,381.011261,117674500,2068
2022-05-19,388.619995,394.140015,387.109985,389.459991,378.677734,98510700,2069
2022-05-20,393.25,397.029999,380.540009,389.630005,378.842987,131432200,2070
2022-05-23,392.829987,397.730011,390.380005,396.920013,385.931183,76414900,2071
2022-05-24,392.559998,395.149994,386.959991,393.890015,382.985077,91448800,2072
2022-05-25,392.309998,399.450012,391.890015,397.369995,386.368744,91472900,2073
2022-05-26,398.670013,407.040009,398.450012,405.309998,394.088928,82168300,2074
2022-05-27,407.910004,415.380005,407.700012,415.26001,403.763428,84768700,2075
2022-05-31,413.549988,416.459991,410.029999,412.929993,401.497955,95937000,2076
2022-06-01,415.170013,416.23999,406.929993,409.589996,398.250427,86585800,2077
2022-06-02,409.420013,417.440002,407.040009,417.390015,405.834503,79609600,2078
2022-06-03,412.399994,414.040009,409.51001,410.540009,399.174133,71874300,2079
2022-06-06,414.779999,416.609985,410.549988,411.790009,400.389557,57508900,2080
2022-06-07,408.100006,416.220001,407.609985,415.73999,404.230164,59272400,2081
2022-06-08,413.929993,415.820007,410.380005,411.220001,399.835327,64350000,2082
2022-06-09,409.339996,411.73999,401.440002,401.440002,390.32605,86289800,2083
2022-06-10,394.880005,395.779999,389.75,389.799988,379.008301,132893900,2084
2022-06-13,379.850006,381.809998,373.299988,375,364.618073,170004900,2085
2022-06-14,376.850006,377.940002,370.589996,373.869995,363.519318,104011800,2086
2022-06-15,377.359985,383.899994,372.119995,379.200012,368.701813,125666800,2087
2022-06-16,370.51001,370.940002,364.079987,366.649994,356.499207,134473300,2088
2022-06-17,365.51001,369.380005,362.170013,365.859985,357.267731,111113900,2089
2022-06-21,371.890015,376.529999,371.809998,375.070007,366.261505,76811900,2090
2022-06-22,370.619995,378.720001,370.179993,374.390015,365.597473,90059400,2091
2022-06-23,376.640015,378.829987,372.890015,378.059998,369.181244,79292100,2092
2022-06-24,381.399994,390.089996,381.369995,390.079987,380.918945,98050300,2093
2022-06-27,391.049988,391.359985,387.440002,388.589996,379.463898,66009600,2094
2022-06-28,390.230011,393.160004,380.529999,380.649994,371.710419,86548900,2095
2022-06-29,381.230011,382.269989,378.420013,380.339996,371.407715,65676000,2096
2022-06-30,376.23999,380.660004,372.559998,377.25,368.390259,112508300,2097
2022-07-01,376.559998,381.700012,373.799988,381.23999,372.28653,74839700,2098
2022-07-05,375.880005,381.980011,372.899994,381.959991,372.989624,81438000,2099
2022-07-06,382.109985,385.869995,379.600006,383.25,374.249359,70426200,2100
2022-07-07,385.119995,389.829987,383.269989,388.98999,379.854584,64525900,2101
2022-07-08,387.269989,390.640015,385.660004,388.670013,379.542084,72397800,2102
2022-07-11,385.850006,386.869995,383.5,384.230011,375.20636,58366900,2103
2022-07-12,383.649994,386.160004,378.98999,380.829987,371.886169,62219200,2104
2022-07-13,375.100006,381.920013,374.660004,378.829987,369.933136,84224600,2105
2022-07-14,373.609985,379.049988,371.040009,377.910004,369.034821,89704800,2106
2022-07-15,382.549988,385.25,380.540009,385.130005,376.085205,79060400,2107
2022-07-18,388.380005,389.089996,380.660004,381.950012,372.979889,63203600,2108
2022-07-19,386.079987,392.869995,385.390015,392.269989,383.057495,78506000,2109
2022-07-20,392.470001,396.26001,391.029999,394.769989,385.49881,71843800,2110
2022-07-21,394.160004,398.839996,391.630005,398.790009,389.424408,64903900,2111
2022-07-22,398.920013,400.179993,392.75,395.089996,385.811279,72197300,2112
2022-07-25,395.75,396.470001,393.209991,395.570007,386.280029,53631500,2113
2022-07-26,393.839996,394.059998,389.950012,390.890015,381.709961,52946400,2114
2022-07-27,394.359985,402.880005,394.049988,401.040009,391.621552,82342100,2115
2022-07-28,401.890015,406.799988,398.149994,406.070007,396.533417,73966600,2116
2022-07-29,407.579987,413.029999,406.769989,411.98999,402.314362,87003700,2117
2022-08-01,409.149994,413.410004,408.399994,410.769989,401.123077,69997500,2118
2022-08-02,409.119995,413,406.820007,408.059998,398.476685,63435400,2119
2022-08-03,410.299988,415.679993,410,414.450012,404.716614,67820600,2120
2022-08-04,414.369995,415.089996,412.440002,414.170013,404.443237,45656600,2121
2022-08-05,409.660004,414.149994,409.600006,413.470001,403.759644,56814900,2122
2022-08-08,415.25,417.619995,411.829987,412.98999,403.290894,53886100,2123
2022-08-09,412.220001,412.75,410.220001,411.350006,401.689453,44931800,2124
2022-08-10,418.779999,420.140015,416.720001,419.98999,410.126526,68665700,2125
2022-08-11,422.98999,424.950012,419.209991,419.98999,410.126526,59489700,2126
2022-08-12,422.029999,427.209991,421.029999,427.100006,417.06958,61694500,2127
2022-08-15,424.769989,429.410004,424.709991,428.859985,418.788208,54048300,2128
2022-08-16,427.730011,431.730011,426.880005,429.700012,419.608459,59289000,2129
2022-08-17,425.910004,429.5,424.540009,426.649994,416.630066,63563400,2130
2022-08-18,426.859985,428.609985,425.5,427.890015,417.840973,49023200,2131
2022-08-19,424.980011,425.26001,421.220001,422.140015,412.226013,68016900,2132
2022-08-22,417.049988,417.230011,412.399994,413.350006,403.642426,77695600,2133
2022-08-23,412.899994,415.420013,411.769989,412.350006,402.665955,49105200,2134
2022-08-24,412.109985,415.109985,411.390015,413.670013,403.954987,49177800,2135
2022-08-25,415.23999,419.559998,414.089996,419.51001,409.657776,50942300,2136
2022-08-26,419.390015,419.959991,405.25,405.309998,395.79129,103087000,2137
2022-08-29,402.200012,405.839996,401.200012,402.630005,393.174225,65370800,2138
2022-08-30,403.850006,404.100006,396,398.209991,388.858063,85652400,2139
2022-08-31,399.929993,401.23999,395.040009,395.179993,385.89917,76029700,2140
2022-09-01,392.890015,396.779999,390.040009,396.420013,387.110077,78740100,2141
2022-09-02,400.279999,401.559998,390.329987,392.23999,383.028229,99632100,2142
2022-09-06,393.130005,394.119995,388.420013,390.76001,381.582947,76637400,2143
2022-09-07,390.429993,398.589996,390.200012,397.779999,388.43811,70964200,2144
2022-09-08,395.390015,400.859985,394.119995,400.380005,390.977051,80821700,2145
2022-09-09,402.73999,407.51001,402.459991,406.600006,397.050964,76706900,2146
2022-09-12,408.779999,411.730011,408.459991,410.970001,401.318329,69256300,2147
2022-09-13,401.829987,403.100006,391.920013,393.100006,383.868042,122947100,2148
2022-09-14,394.470001,396.200012,391.119995,394.600006,385.332794,85023700,2149
2022-09-15,392.959991,395.959991,388.779999,390.119995,380.958038,87633800,2150
2022-09-16,384.140015,386.25,382.109985,385.559998,378.051727,103084800,2151
2022-09-19,382.26001,388.549988,382.179993,388.549988,380.98349,73278500,2152
2022-09-20,385.059998,386.119995,381.200012,384.089996,376.610321,77274900,2153
2022-09-21,386.109985,389.309998,377.380005,377.390015,370.040833,106746600,2154
2022-09-22,376.579987,378.299988,373.440002,374.220001,366.932556,89472600,2155
2022-09-23,370.579987,370.619995,363.290009,367.950012,360.784637,122346900,2156
2022-09-26,366.410004,370.209991,363.029999,364.309998,357.215546,92581200,2157
2022-09-27,368.019989,370.399994,360.869995,363.380005,356.30365,108294100,2158
2022-09-28,364.380005,372.299988,362.600006,370.529999,363.314423,110802200,2159
2022-09-29,366.809998,367.109985,359.700012,362.790009,355.725159,112952300,2160
2022-09-30,361.799988,365.910004,357.040009,357.179993,350.224365,153711200,2161
2022-10-03,361.079987,368.549988,359.209991,366.609985,359.470734,89756500,2162
2022-10-04,372.399994,378,366.570007,377.970001,370.609528,103602800,2163
2022-10-05,373.390015,379.459991,370.950012,377.089996,369.746674,88065700,2164
2022-10-06,375.619995,378.720001,372.679993,373.200012,365.932465,82333500,2165
2022-10-07,368.970001,373.290009,360.940002,362.790009,355.725159,107789500,2166
2022-10-10,363.959991,364.209991,357.670013,360.019989,353.009094,76042800,2167
2022-10-11,358.23999,363.029999,355.709991,357.73999,350.773438,92482800,2168
2022-10-12,358.170013,359.820007,356.299988,356.559998,349.616455,76991800,2169
2022-10-13,349.209991,367.51001,348.109985,365.970001,358.843201,147254500,2170
2022-10-14,368.549988,370.26001,356.959991,357.630005,350.665619,123737000,2171
2022-10-17,364.01001,367.980011,357.279999,366.820007,359.676636,93168200,2172
2022-10-18,375.130005,375.450012,367.519989,371.130005,363.90274,97162900,2173
2022-10-19,368.98999,371.850006,365.549988,368.5,361.323975,79746900,2174
2022-10-20,368.029999,372.670013,364.609985,365.410004,358.294128,88283100,2175
2022-10-21,365.119995,374.799988,363.540009,374.290009,367.00119,131038400,2176
2022-10-24,375.890015,380.059998,373.109985,378.869995,371.491974,85436900,2177
2022-10-25,378.790009,385.25,378.670013,384.920013,377.424225,78846300,2178
2022-10-26,381.619995,387.579987,381.350006,382.019989,374.580658,104087300,2179
2022-10-27,383.070007,385,379.329987,379.980011,372.580383,81971800,2180
2022-10-28,379.869995,389.519989,379.679993,389.019989,381.444336,100302000,2181
2022-10-31,386.440002,388.399994,385.26001,386.209991,378.689026,96631300,2182
2022-11-01,390.140015,390.390015,383.290009,384.519989,377.031982,85407600,2183
2022-11-02,383.899994,388.630005,374.76001,374.869995,367.569916,126990400,2184
2022-11-03,371.470001,374.200012,368.790009,371.01001,363.785065,87100100,2185
2022-11-04,377,378.869995,370,376.350006,369.021057,103505200,2186
2022-11-07,377.709991,380.570007,375.529999,379.950012,372.550995,68286900,2187
2022-11-08,381.109985,385.119995,377.720001,382,374.561035,84641100,2188
2022-11-09,379.929993,381.140015,373.609985,374.130005,366.84433,78495500,2189
2022-11-10,388.049988,395.040009,385.640015,394.690002,387.003906,141455800,2190
2022-11-11,395.589996,399.350006,393.609985,398.51001,390.749542,93839900,2191
2022-11-14,396.660004,400.179993,394.829987,395.119995,387.425568,71903500,2192
2022-11-15,401.149994,402.309998,394.48999,398.48999,390.729919,93194500,2193
2022-11-16,396.779999,397.779999,394.790009,395.450012,387.749115,68508500,2194
2022-11-17,390.459991,394.950012,390.140015,394.23999,386.562683,74496300,2195
2022-11-18,397.73999,397.809998,393.040009,396.029999,388.317841,92922500,2196
2022-11-21,394.640015,395.820007,392.660004,394.589996,386.905853,51243200,2197
2022-11-22,396.630005,400.070007,395.149994,399.899994,392.112488,60429000,2198
2022-11-23,399.549988,402.929993,399.309998,402.420013,394.583405,68261600,2199
2022-11-25,401.829987,402.910004,401.540009,402.329987,394.495148,30545400,2200
2022-11-28,399.089996,400.809998,395.109985,395.910004,388.200195,67881600,2201
2022-11-29,396.049988,397.299988,393.299988,395.230011,387.533386,52310000,2202
2022-11-30,395.48999,407.679993,393.480011,407.679993,399.740967,144566700,2203
2022-12-01,408.769989,410,404.75,407.380005,399.446808,76398200,2204
2022-12-02,402.25,407.859985,402.140015,406.910004,398.985962,85342700,2205
2022-12-05,403.950012,404.929993,398.170013,399.589996,391.808533,77289800,2206
2022-12-06,399.420013,399.98999,391.640015,393.829987,386.160645,77972200,2207
2022-12-07,392.940002,395.640015,391.970001,393.160004,385.503723,65927900,2208
2022-12-08,395.140015,397.359985,393.269989,396.23999,388.523712,60737900,2209
2022-12-09,394.940002,397.619995,393.149994,393.279999,385.621368,81447700,2210
2022-12-12,394.109985,398.950012,393.410004,398.950012,391.181,75405800,2211
2022-12-13,410.220001,410.48999,399.070007,401.970001,394.142181,123782500,2212
2022-12-14,401.609985,405.5,396.309998,399.399994,391.622192,108111300,2213
2022-12-15,394.299988,395.25,387.890015,389.630005,382.04248,117705900,2214
2022-12-16,385.179993,386.579987,381.040009,383.269989,377.531982,119858000,2215
2022-12-19,383.470001,383.820007,378.279999,380.019989,374.330658,79878100,2216
2022-12-20,379.230011,382.230011,377.850006,380.540009,374.842896,74427200,2217
2022-12-21,383.25,387.410004,382.690002,386.230011,380.447723,78167400,2218
2022-12-22,383.049988,386.209991,374.769989,380.720001,375.020203,100120900,2219
2022-12-23,379.649994,383.059998,378.029999,382.910004,377.177399,59857300,2220
2022-12-27,382.790009,383.149994,379.649994,381.399994,375.690002,51638200,2221
2022-12-28,381.329987,383.390015,376.420013,376.660004,371.020966,70911500,2222
2022-12-29,379.630005,384.350006,379.079987,383.440002,377.699493,66970900,2223
